8001010000;8001019999;Уральский регион
8003000000;8003009999;Уральский регион
8003010000;8003019999;Уральский регион
8013000000;8013009999;Уральский регион
8013010000;8013019999;Уральский регион
8023000000;8023009999;Уральский регион
8023010000;8023019999;Уральский регион
8031010000;8031019999;Уральский регион
8033000000;8033009999;Уральский регион
8033010000;8033019999;Уральский регион
8041010000;8041019999;Уральский регион
8043010000;8043019999;Уральский регион
8051010000;8051019999;Уральский регион
8053000000;8053009999;Уральский регион
8053010000;8053019999;Уральский регион
8063010000;8063019999;Уральский регион
8073010000;8073019999;Уральский регион
8083010000;8083019999;Уральский регион
8091010000;8091019999;Уральский регион
8093000000;8093009999;Уральский регион
8093010000;8093019999;Уральский регион
